Silver Futures Historical Data
Date,Price,Open,High,Low,Vol.,Change %,Candle %
"Jan 02, 2011",28.661,30.45,31.195,28.425,0.52K,-7.28%,-6.242%
"Dec 26, 2010",30.91,28.87,30.9,28.86,0.43K,5.46%,6.600%
"Dec 19, 2010",29.31,29.365,29.51,28.83,0.41K,0.68%,-0.188%
"Dec 12, 2010",29.113,28.945,29.765,28.4,0.31K,1.88%,0.577%
"Dec 05, 2010",28.576,29.495,30.69,28.01,1.49K,-2.27%,-3.216%
"Nov 28, 2010",29.241,26.735,29.415,26.45,60.89K,9.54%,8.570%
"Nov 21, 2010",26.695,27.525,27.65,27.175,0.03K,-1.77%,-3.109%
"Nov 14, 2010",27.175,26.4,26.935,25.055,0.18K,4.77%,2.852%
"Nov 07, 2010",25.938,26.59,28.915,26.035,0.27K,-3.01%,-2.514%
"Oct 31, 2010",26.744,24.865,26.82,24.115,0.23K,8.89%,7.026%
"Oct 24, 2010",24.56,23.34,24.7,23.34,0.27K,6.21%,4.967%
"Oct 17, 2010",23.125,24.23,24.435,23.535,0.07K,-4.73%,-4.778%
"Oct 10, 2010",24.272,23.365,24.35,23.04,0.02K,5.13%,3.737%
"Oct 03, 2010",23.087,22.005,23.245,22,0.03K,4.76%,4.687%
"Sep 26, 2010",22.037,21.57,21.96,21.31,0.10K,3.06%,2.119%
"Sep 19, 2010",21.383,20.9,21.44,20.55,0.42K,2.85%,2.259%
"Sep 12, 2010",20.79,20,20.96,19.99,0.94K,4.99%,3.800%
"Sep 05, 2010",19.802,19.87,20.11,19.585,2.01K,-0.57%,-0.343%
"Aug 29, 2010",19.915,19.07,19.93,18.83,9.58K,4.60%,4.243%
"Aug 22, 2010",19.039,17.925,19.06,17.925,0.00K,5.88%,5.851%
"Aug 15, 2010",17.982,18.375,18.55,18.12,0.01K,-0.64%,-2.186%
"Aug 08, 2010",18.097,18.13,18.525,18.1,0.00K,-1.96%,-0.182%
"Aug 01, 2010",18.459,18.435,18.475,18.435,0.00K,2.62%,0.130%
"Jul 25, 2010",17.987,18.03,18.21,17.43,0.26K,-0.60%,-0.239%
"Jul 18, 2010",18.096,17.86,18.19,17.44,0.86K,1.82%,1.304%
"Jul 11, 2010",17.773,18.105,18.42,17.74,0.56K,-1.55%,-1.868%
"Jul 04, 2010",18.053,17.855,18.205,17.555,0.66K,2.01%,1.097%
